Date,Campaign type,Impressions,Clicks,Cost,Conversions,Revenue
2024-01-01,Search & content,831.0,100.0,108.6,15.0,2240.6
2024-01-01,Shopping,20128.0,316.0,149.0,13.0,2364.3
2024-01-02,Search & content,1069.0,163.0,188.4,26.0,4383.0
2024-01-02,Shopping,31540.0,366.0,166.9,11.0,423.6
2024-01-03,Search & content,960.0,153.0,180.7,22.0,3035.6
2024-01-03,Shopping,43958.0,516.0,314.7,20.0,3225.9
2024-01-04,Search & content,1014.0,142.0,168.6,24.0,3166.8
2024-01-04,Shopping,37614.0,439.0,229.4,10.0,1245.4
2024-01-05,Search & content,844.0,119.0,140.9,10.0,940.5
2024-01-05,Shopping,33612.0,408.0,189.6,8.0,952.0
2024-01-06,Search & content,1012.0,100.0,132.9,12.0,1305.0
2024-01-06,Shopping,22943.0,336.0,149.2,18.0,1570.1
2024-01-07,Search & content,760.0,100.0,123.8,8.0,975.0
2024-01-07,Shopping,23045.0,317.0,148.4,12.0,1987.1
2024-01-08,Search & content,984.0,128.0,167.1,17.0,4194.6
2024-01-08,Shopping,34861.0,420.0,205.8,10.0,801.4
2024-01-09,Search & content,943.0,136.0,160.4,20.0,3997.3
2024-01-09,Shopping,39549.0,429.0,224.6,16.0,2516.6
2024-01-10,Search & content,809.0,118.0,128.5,17.0,2627.4
2024-01-10,Shopping,45231.0,468.0,282.7,19.0,1513.6
2024-01-11,Search & content,779.0,120.0,139.7,16.0,2682.4
2024-01-11,Shopping,46996.0,520.0,307.4,19.0,1820.1
2024-01-12,Search & content,1042.0,146.0,162.6,20.0,4813.7
2024-01-12,Shopping,30863.0,449.0,266.6,9.0,757.3
2024-01-13,Search & content,941.0,112.0,111.7,12.0,1567.6
2024-01-13,Shopping,21816.0,331.0,154.1,12.0,1038.5
2024-01-14,Search & content,641.0,105.0,112.9,11.0,2378.4
2024-01-14,Shopping,19504.0,340.0,168.9,13.0,1428.6
2024-01-15,Search & content,729.0,121.0,152.4,21.0,2723.2
2024-01-15,Shopping,28953.0,357.0,165.5,16.0,1977.3
2024-01-16,Search & content,774.0,117.0,149.6,11.0,1088.5
2024-01-16,Shopping,30891.0,368.0,168.2,10.0,1394.4
2024-01-17,Search & content,822.0,140.0,175.9,11.0,1851.5
2024-01-17,Shopping,29704.0,393.0,174.1,13.0,2539.0
2024-01-18,Search & content,640.0,116.0,153.0,14.0,1592.9
2024-01-18,Shopping,34764.0,412.0,204.2,20.0,1546.0
2024-01-19,Search & content,849.0,150.0,178.8,24.0,5453.6
2024-01-19,Shopping,24756.0,331.0,144.4,15.0,1997.8
2024-01-20,Search & content,699.0,111.0,140.5,15.0,1982.8
2024-01-20,Shopping,20705.0,338.0,151.8,12.0,1602.5
2024-01-21,Search & content,681.0,107.0,124.8,17.0,2911.4
2024-01-21,Shopping,18520.0,244.0,97.6,13.0,1798.6
2024-01-22,Search & content,771.0,126.0,188.5,16.0,2727.8
2024-01-22,Shopping,24699.0,336.0,143.3,15.0,2075.4
2024-01-23,Search & content,774.0,158.0,224.1,18.0,3183.2
2024-01-23,Shopping,30291.0,364.0,164.8,13.0,2000.7
2024-01-24,Search & content,759.0,135.0,190.1,12.0,1738.1
2024-01-24,Shopping,28840.0,346.0,149.5,17.0,1765.2
2024-01-25,Search & content,699.0,140.0,218.9,20.0,4469.0
2024-01-25,Shopping,32488.0,334.0,161.8,8.0,811.1
2024-01-26,Search & content,766.0,134.0,172.6,12.0,2541.9
2024-01-26,Shopping,20747.0,260.0,103.1,12.0,993.8
2024-01-27,Search & content,636.0,115.0,159.9,20.0,4349.1
2024-01-27,Shopping,16064.0,242.0,104.7,4.0,496.2
2024-01-28,Search & content,661.0,101.0,150.8,10.0,2138.7
2024-01-28,Shopping,16392.0,236.0,85.4,8.0,797.8
2024-01-29,Search & content,792.0,119.0,197.4,13.0,1828.4
2024-01-29,Shopping,20353.0,323.0,121.3,10.0,1076.3
2024-01-30,Search & content,876.0,144.0,216.6,16.0,3772.3
2024-01-30,Shopping,18752.0,259.0,89.8,9.0,1227.1
2024-01-31,Search & content,836.0,139.0,205.4,18.0,2996.6
2024-01-31,Shopping,17608.0,269.0,90.5,12.0,1354.5
2024-02-01,Search & content,733.0,115.0,171.0,14.0,2220.9
2024-02-01,Shopping,16908.0,255.0,96.0,12.0,1170.7
2024-02-02,Search & content,647.0,114.0,152.4,18.0,295.9
2024-02-02,Shopping,13690.0,198.0,72.9,6.0,569.3
2024-02-03,Search & content,394.0,89.0,142.0,16.0,3556.4
2024-02-03,Shopping,12485.0,193.0,67.5,8.0,933.1
2024-02-04,Search & content,370.0,68.0,117.4,12.0,1923.3
2024-02-04,Shopping,10684.0,153.0,55.8,12.0,97.7
2024-02-05,Search & content,472.0,120.0,200.1,22.0,112.9
2024-02-05,Shopping,12421.0,168.0,60.8,2.0,216.0
2024-02-06,Search & content,384.0,76.0,139.3,11.0,2256.7
2024-02-06,Shopping,13040.0,197.0,67.3,8.0,266.0
2024-02-07,Search & content,331.0,92.0,158.2,20.0,4394.6
2024-02-07,Shopping,13317.0,215.0,80.1,12.0,130.9
2024-02-08,Search & content,380.0,100.0,183.1,14.0,2416.9
2024-02-08,Shopping,13712.0,215.0,76.8,9.0,1042.9
2024-02-09,Search & content,355.0,92.0,158.3,15.0,3254.9
2024-02-09,Shopping,13770.0,176.0,63.2,8.0,52.0
2024-02-10,Search & content,247.0,68.0,129.1,6.0,94.9
2024-02-10,Shopping,12612.0,160.0,63.9,1.0,91.2
2024-02-11,Search & content,249.0,80.0,159.9,15.0,1989.6
2024-02-11,Shopping,11197.0,149.0,64.4,6.0,88.2
2024-02-12,Search & content,344.0,83.0,154.0,15.0,144.1
2024-02-12,Shopping,12033.0,145.0,62.4,6.0,544.7
2024-02-13,Search & content,332.0,104.0,192.0,19.0,230.3
2024-02-13,Shopping,13158.0,155.0,65.9,5.0,202.8
2024-02-14,Search & content,362.0,87.0,165.6,20.0,1651.7
2024-02-14,Shopping,13241.0,139.0,63.0,5.0,72.6
2024-02-15,Search & content,447.0,84.0,146.5,12.0,782.5
2024-02-15,Shopping,12525.0,161.0,66.2,6.0,37.8
